id,number_1,operator,number_2,solution
0,39,0,957,996
1,78,0,652,730
2,940,0,699,1639
3,965,0,306,1271
4,884,0,655,1539
5,227,0,138,365
6,285,0,2,287
7,852,0,424,1276
8,512,0,564,1076
9,461,0,2,463
10,409,0,157,566
11,45,0,964,1009
12,90,0,194,284
13,458,0,362,820
14,957,0,464,1421
15,605,0,270,875
16,810,0,269,1079
17,582,0,773,1355
18,36,0,640,676
19,63,0,762,825
20,68,0,5,73
21,900,0,359,1259
22,731,0,699,1430
23,52,0,58,110
24,394,0,583,977
25,132,0,96,228
26,178,0,925,1103
27,407,0,822,1229
28,524,0,676,1200
29,275,0,255,530
30,384,0,451,835
31,249,0,323,572
32,910,0,7,917
33,433,0,485,918
34,300,0,348,648
35,714,0,396,1110
36,670,0,228,898
37,872,0,426,1298
38,670,0,521,1191
39,261,0,437,698
40,194,0,210,404
41,781,0,30,811
42,246,0,808,1054
43,614,0,374,988
44,398,0,710,1108
45,834,0,571,1405
46,487,0,371,858
47,860,0,441,1301
48,77,0,866,943
49,994,0,738,1732
50,588,0,400,988
51,934,0,458,1392
52,534,0,899,1433
53,723,0,502,1225
54,32,0,678,710
55,691,0,604,1295
56,593,0,43,636
57,17,0,355,372
58,810,0,586,1396
59,765,0,842,1607
60,41,0,168,209
61,97,0,79,176
62,836,0,418,1254
63,823,0,76,899
64,785,0,903,1688
65,867,0,331,1198
66,798,0,313,1111
67,561,0,866,1427
68,10,0,460,470
69,818,0,696,1514
70,894,0,202,1096
71,587,0,728,1315
72,920,0,751,1671
73,388,0,42,430
74,760,0,335,1095
75,523,0,329,852
76,94,0,646,740
77,849,0,240,1089
78,408,0,420,828
79,554,0,564,1118
80,156,0,721,877
81,127,0,383,510
82,383,0,187,570
83,415,0,779,1194
84,9,0,310,319
85,810,0,917,1727
86,98,0,223,321
87,164,0,465,629
88,880,0,605,1485
89,71,0,452,523
90,531,0,408,939
91,59,0,580,639
92,271,0,389,660
93,312,0,555,867
94,75,0,522,597
95,132,0,830,962
96,992,0,228,1220
97,869,0,168,1037
98,665,0,448,1113
99,69,0,921,990
100,719,0,279,998
101,343,0,7,350
102,918,0,364,1282
103,448,0,747,1195
104,87,0,962,1049
105,933,0,288,1221
106,150,0,813,963
107,176,0,187,363
108,721,0,3,724
109,258,0,757,1015
110,592,0,793,1385
111,292,0,229,521
112,629,0,532,1161
113,76,0,794,870
114,155,0,783,938
115,651,0,133,784
116,412,0,650,1062
117,521,0,466,987
118,378,0,438,816
119,492,0,710,1202
120,749,0,334,1083
121,368,0,306,674
122,992,0,391,1383
123,132,0,770,902
124,704,0,376,1080
125,795,0,273,1068
126,286,0,336,622
127,487,0,508,995
128,735,0,175,910
129,925,0,20,945
130,503,0,592,1095
131,632,0,405,1037
132,494,0,814,1308
133,302,0,892,1194
134,193,0,111,304
135,51,0,405,456
136,716,0,495,1211
137,136,0,823,959
138,547,0,371,918
139,516,0,286,802
140,471,0,725,1196
141,213,0,961,1174
142,920,0,787,1707
143,397,0,217,614
144,870,0,236,1106
145,113,0,743,856
146,326,0,374,700
147,212,0,28,240
148,767,0,806,1573
149,758,0,870,1628
150,693,0,542,1235
151,630,0,845,1475
152,791,0,618,1409
153,569,0,807,1376
154,77,0,979,1056
155,995,0,365,1360
156,225,0,521,746
157,114,0,63,177
158,797,0,64,861
159,329,0,880,1209
160,962,0,844,1806
161,284,0,413,697
162,138,0,429,567
163,260,0,50,310
164,406,0,568,974
165,268,0,103,371
166,285,0,507,792
167,332,0,819,1151
168,611,0,692,1303
169,838,0,960,1798
170,366,0,445,811
171,833,0,356,1189
172,10,0,254,264
173,767,0,646,1413
174,960,0,970,1930
175,279,0,720,999
176,783,0,112,895
177,936,0,503,1439
178,797,0,804,1601
179,429,0,163,592
180,130,0,980,1110
181,667,0,187,854
182,762,0,603,1365
183,401,0,453,854
184,712,0,181,893
185,326,0,872,1198
186,865,0,26,891
187,780,0,982,1762
188,618,0,520,1138
189,184,0,940,1124
190,917,0,230,1147
191,22,0,654,676
192,418,0,68,486
193,329,0,782,1111
194,45,0,471,516
195,91,0,770,861
196,421,0,158,579
197,551,0,375,926
198,550,0,256,806
199,871,0,911,1782
200,967,0,284,1251
201,648,0,449,1097
202,132,0,962,1094
203,416,0,971,1387
204,326,0,370,696
205,40,0,405,445
206,671,0,540,1211
207,472,0,712,1184
208,755,0,774,1529
209,353,0,576,929
210,375,0,463,838
211,218,0,92,310
212,955,0,166,1121
213,8,0,291,299
214,613,0,894,1507
215,363,0,29,392
216,499,0,106,605
217,714,0,567,1281
218,632,0,818,1450
219,757,0,754,1511
220,959,0,158,1117
221,263,0,429,692
222,333,0,565,898
223,687,0,551,1238
224,202,0,231,433
225,260,0,335,595
226,733,0,171,904
227,6,0,372,378
228,287,0,68,355
229,675,0,797,1472
230,744,0,815,1559
231,848,0,247,1095
232,239,0,937,1176
233,779,0,971,1750
234,130,0,231,361
235,823,0,422,1245
236,569,0,261,830
237,705,0,673,1378
238,71,0,82,153
239,759,0,135,894
240,224,0,410,634
241,675,0,306,981
242,701,0,410,1111
243,360,0,389,749
244,639,0,118,757
245,840,0,724,1564
246,502,0,468,970
247,734,0,697,1431
248,537,0,345,882
249,210,0,973,1183
250,984,0,972,1956
251,480,0,972,1452
252,649,0,171,820
253,452,0,604,1056
254,621,0,947,1568
255,778,0,710,1488
256,819,0,140,959
257,834,0,119,953
258,392,0,380,772
259,133,0,771,904
260,681,0,21,702
261,690,0,743,1433
262,762,0,879,1641
263,520,0,567,1087
264,575,0,168,743
265,703,0,165,868
266,146,0,216,362
267,130,0,697,827
268,714,0,788,1502
269,449,0,632,1081
270,342,0,115,457
271,816,0,913,1729
272,188,0,665,853
273,700,0,47,747
274,635,0,876,1511
275,470,0,956,1426
276,7,0,97,104
277,137,0,404,541
278,355,0,889,1244
279,388,0,2,390
280,582,0,175,757
281,808,0,150,958
282,881,0,925,1806
283,911,0,575,1486
284,828,0,684,1512
285,527,0,475,1002
286,392,0,561,953
287,792,0,969,1761
288,386,0,451,837
289,973,0,129,1102
290,503,0,772,1275
291,176,0,584,760
292,122,0,245,367
293,741,0,223,964
294,400,0,520,920
295,817,0,764,1581
296,24,0,661,685
297,546,0,262,808
298,519,0,496,1015
299,300,0,306,606
300,694,0,200,894
301,888,0,703,1591
302,791,0,83,874
303,552,0,510,1062
304,353,0,813,1166
305,286,0,295,581
306,363,0,333,696
307,167,0,178,345
308,467,0,953,1420
309,125,0,905,1030
310,775,0,416,1191
311,45,0,920,965
312,320,0,27,347
313,571,0,817,1388
314,575,0,992,1567
315,315,0,265,580
316,879,0,371,1250
317,832,0,291,1123
318,526,0,688,1214
319,841,0,669,1510
320,615,0,872,1487
321,480,0,317,797
322,358,0,6,364
323,346,0,588,934
324,993,0,953,1946
325,934,0,421,1355
326,871,0,323,1194
327,810,0,352,1162
328,873,0,432,1305
329,56,0,383,439
330,930,0,878,1808
331,97,0,399,496
332,346,0,699,1045
333,690,0,245,935
334,379,0,329,708
335,406,0,459,865
336,965,0,586,1551
337,702,0,842,1544
338,788,0,378,1166
339,757,0,928,1685
340,1000,0,859,1859
341,906,0,83,989
342,425,0,960,1385
343,705,0,23,728
344,755,0,521,1276
345,872,0,157,1029
346,174,0,510,684
347,523,0,939,1462
348,46,0,819,865
349,222,0,872,1094
350,950,0,472,1422
351,667,0,120,787
352,108,0,570,678
353,186,0,606,792
354,829,0,788,1617
355,915,0,455,1370
356,119,0,183,302
357,81,0,661,742
358,780,0,672,1452
359,779,0,985,1764
360,782,0,502,1284
361,854,0,424,1278
362,869,0,407,1276
363,618,0,268,886
364,234,0,174,408
365,538,0,126,664
366,351,0,218,569
367,849,0,56,905
368,754,0,217,971
369,66,0,120,186
370,586,0,831,1417
371,760,0,158,918
372,409,0,587,996
373,619,0,239,858
374,653,0,323,976
375,951,0,287,1238
376,961,0,312,1273
377,237,0,852,1089
378,243,0,502,745
379,766,0,876,1642
380,144,0,385,529
381,289,0,35,324
382,162,0,504,666
383,806,0,135,941
384,908,0,835,1743
385,128,0,656,784
386,709,0,287,996
387,27,0,161,188
388,992,0,57,1049
389,686,0,689,1375
390,76,0,838,914
391,877,0,620,1497
392,408,0,617,1025
393,166,0,378,544
394,894,0,140,1034
395,840,0,776,1616
396,328,0,966,1294
397,132,0,762,894
398,525,0,13,538
399,44,0,785,829
400,238,0,775,1013
401,246,0,285,531
402,871,0,962,1833
403,608,0,579,1187
404,64,0,404,468
405,991,0,961,1952
406,67,0,833,900
407,26,0,359,385
408,308,0,959,1267
409,465,0,756,1221
410,969,0,205,1174
411,996,0,561,1557
412,865,0,98,963
413,992,0,56,1048
414,345,0,694,1039
415,188,0,70,258
416,50,0,645,695
417,630,0,217,847
418,627,0,981,1608
419,490,0,416,906
420,644,0,672,1316
421,276,0,209,485
422,958,0,529,1487
423,622,0,157,779
424,990,0,108,1098
425,334,0,192,526
426,283,0,753,1036
427,249,0,740,989
428,154,0,765,919
429,135,0,939,1074
430,604,0,771,1375
431,454,0,992,1446
432,548,0,43,591
433,930,0,663,1593
434,323,0,339,662
435,606,0,984,1590
436,710,0,956,1666
437,971,0,734,1705
438,562,0,673,1235
439,928,0,469,1397
440,919,0,334,1253
441,822,0,934,1756
442,671,0,623,1294
443,427,0,230,657
444,920,0,222,1142
445,12,0,894,906
446,102,0,401,503
447,969,0,490,1459
448,970,0,420,1390
449,114,0,444,558
450,471,0,266,737
451,242,0,136,378
452,270,0,640,910
453,795,0,915,1710
454,927,0,287,1214
455,926,0,870,1796
456,87,0,473,560
457,267,0,413,680
458,867,0,512,1379
459,978,0,205,1183
460,121,0,281,402
461,555,0,891,1446
462,579,0,158,737
463,619,0,307,926
464,135,0,1,136
465,868,0,582,1450
466,187,0,314,501
467,176,0,248,424
468,503,0,485,988
469,252,0,659,911
470,502,0,643,1145
471,980,0,51,1031
472,110,0,185,295
473,961,0,26,987
474,143,0,948,1091
475,47,0,743,790
476,199,0,202,401
477,347,0,12,359
478,851,0,666,1517
479,808,0,938,1746
480,772,0,76,848
481,719,0,180,899
482,611,0,740,1351
483,44,0,10,54
484,197,0,508,705
485,495,0,785,1280
486,962,0,501,1463
487,722,0,327,1049
488,21,0,243,264
489,335,0,322,657
490,551,0,315,866
491,43,0,199,242
492,962,0,13,975
493,168,0,264,432
494,823,0,607,1430
495,275,0,973,1248
496,39,0,802,841
497,608,0,393,1001
498,936,0,750,1686
499,763,0,813,1576
500,830,0,109,939
501,520,0,177,697
502,75,0,301,376
503,349,0,709,1058
504,244,0,942,1186
505,849,0,50,899
506,970,0,560,1530
507,125,0,332,457
508,918,0,878,1796
509,738,0,821,1559
510,534,0,280,814
511,598,0,478,1076
512,566,0,154,720
513,891,0,925,1816
514,251,0,84,335
515,125,0,424,549
516,168,0,891,1059
517,241,0,166,407
518,845,0,750,1595
519,665,0,176,841
520,353,0,843,1196
521,399,0,225,624
522,719,0,512,1231
523,619,0,356,975
524,531,0,910,1441
525,693,0,958,1651
526,143,0,84,227
527,670,0,93,763
528,709,0,241,950
529,4,0,995,999
530,84,0,215,299
531,28,0,595,623
532,904,0,271,1175
533,844,0,449,1293
534,651,0,688,1339
535,367,0,98,465
536,632,0,520,1152
537,131,0,977,1108
538,404,0,809,1213
539,452,0,450,902
540,192,0,890,1082
541,44,0,472,516
542,596,0,665,1261
543,88,0,332,420
544,131,0,899,1030
545,987,0,259,1246
546,102,0,819,921
547,766,0,0,766
548,851,0,452,1303
549,108,0,464,572
550,3,0,389,392
551,57,0,441,498
552,995,0,269,1264
553,554,0,151,705
554,607,0,980,1587
555,87,0,13,100
556,395,0,494,889
557,835,0,672,1507
558,822,0,152,974
559,892,0,236,1128
560,314,0,898,1212
561,265,0,491,756
562,890,0,909,1799
563,517,0,223,740
564,682,0,459,1141
565,601,0,824,1425
566,73,0,2,75
567,700,0,807,1507
568,212,0,443,655
569,660,0,867,1527
570,246,0,614,860
571,988,0,575,1563
572,30,0,518,548
573,148,0,933,1081
574,583,0,767,1350
575,691,0,339,1030
576,393,0,508,901
577,960,0,927,1887
578,186,0,984,1170
579,642,0,852,1494
580,422,0,295,717
581,217,0,597,814
582,103,0,116,219
583,167,0,390,557
584,173,0,568,741
585,886,0,615,1501
586,115,0,22,137
587,146,0,392,538
588,389,0,970,1359
589,144,0,336,480
590,239,0,749,988
591,126,0,80,206
592,960,0,585,1545
593,396,0,521,917
594,531,0,460,991
595,505,0,105,610
596,769,0,45,814
597,6,0,128,134
598,923,0,518,1441
599,425,0,194,619
600,770,0,734,1504
601,297,0,561,858
602,404,0,943,1347
603,907,0,286,1193
604,439,0,324,763
605,313,0,307,620
606,895,0,779,1674
607,948,0,995,1943
608,467,0,749,1216
609,529,0,814,1343
610,768,0,204,972
611,779,0,0,779
612,654,0,114,768
613,0,0,673,673
614,857,0,437,1294
615,635,0,453,1088
616,134,0,682,816
617,749,0,466,1215
618,170,0,320,490
619,627,0,899,1526
620,250,0,645,895
621,173,0,754,927
622,436,0,628,1064
623,538,0,310,848
624,984,0,983,1967
625,407,0,580,987
626,656,0,837,1493
627,400,0,193,593
628,233,0,230,463
629,649,0,640,1289
630,797,0,303,1100
631,261,0,238,499
632,329,0,146,475
633,503,0,66,569
634,732,0,285,1017
635,739,0,780,1519
636,744,0,188,932
637,495,0,434,929
638,867,0,547,1414
639,520,0,774,1294
640,729,0,50,779
641,830,0,353,1183
642,163,0,158,321
643,156,0,864,1020
644,883,0,890,1773
645,602,0,759,1361
646,567,0,694,1261
647,354,0,792,1146
648,139,0,303,442
649,383,0,845,1228
650,22,0,125,147
651,758,0,503,1261
652,269,0,373,642
653,182,0,720,902
654,72,0,431,503
655,808,0,592,1400
656,96,0,387,483
657,11,0,849,860
658,431,0,61,492
659,693,0,507,1200
660,813,0,543,1356
661,627,0,30,657
662,981,0,495,1476
663,255,0,411,666
664,840,0,612,1452
665,384,0,130,514
666,151,0,514,665
667,253,0,515,768
668,997,0,468,1465
669,199,0,586,785
670,429,0,768,1197
671,116,0,999,1115
672,330,0,875,1205
673,953,0,367,1320
674,396,0,624,1020
675,568,0,615,1183
676,930,0,258,1188
677,893,0,531,1424
678,479,0,373,852
679,244,0,685,929
680,172,0,473,645
681,821,0,515,1336
682,35,0,201,236
683,79,0,891,970
684,577,0,259,836
685,376,0,212,588
686,261,0,463,724
687,440,0,460,900
688,831,0,389,1220
689,346,0,702,1048
690,365,0,426,791
691,714,0,228,942
692,609,0,64,673
693,805,0,939,1744
694,253,0,337,590
695,635,0,346,981
696,760,0,662,1422
697,62,0,545,607
698,768,0,63,831
699,338,0,536,874
700,43,0,346,389
701,822,0,220,1042
702,543,0,569,1112
703,222,0,712,934
704,861,0,660,1521
705,177,0,424,601
706,177,0,596,773
707,585,0,62,647
708,936,0,856,1792
709,859,0,355,1214
710,168,0,906,1074
711,979,0,564,1543
712,645,0,29,674
713,320,0,550,870
714,188,0,371,559
715,462,0,352,814
716,261,0,875,1136
717,981,0,711,1692
718,101,0,825,926
719,813,0,245,1058
720,427,0,632,1059
721,195,0,756,951
722,881,0,127,1008
723,655,0,864,1519
724,376,0,941,1317
725,978,0,695,1673
726,229,0,847,1076
727,776,0,176,952
728,522,0,301,823
729,381,0,967,1348
730,937,0,163,1100
731,764,0,226,990
732,611,0,345,956
733,824,0,238,1062
734,928,0,688,1616
735,576,0,289,865
736,866,0,928,1794
737,95,0,808,903
738,772,0,23,795
739,281,0,999,1280
740,57,0,920,977
741,37,0,261,298
742,302,0,998,1300
743,209,0,610,819
744,218,0,367,585
745,45,0,138,183
746,394,0,318,712
747,320,0,185,505
748,249,0,85,334
749,968,0,926,1894
750,165,0,25,190
751,142,0,610,752
752,539,0,129,668
753,701,0,482,1183
754,931,0,703,1634
755,133,0,447,580
756,486,0,302,788
757,776,0,884,1660
758,880,0,122,1002
759,444,0,939,1383
760,844,0,764,1608
761,597,0,721,1318
762,212,0,628,840
763,52,0,9,61
764,869,0,636,1505
765,108,0,937,1045
766,387,0,475,862
767,320,0,868,1188
768,174,0,755,929
769,40,0,637,677
770,565,0,986,1551
771,737,0,464,1201
772,28,0,496,524
773,274,0,559,833
774,268,0,271,539
775,534,0,591,1125
776,584,0,358,942
777,447,0,51,498
778,596,0,291,887
779,268,0,687,955
780,719,0,208,927
781,989,0,181,1170
782,823,0,336,1159
783,44,0,931,975
784,834,0,565,1399
785,993,0,686,1679
786,398,0,281,679
787,772,0,874,1646
788,772,0,705,1477
789,323,0,174,497
790,33,0,439,472
791,345,0,156,501
792,288,0,326,614
793,432,0,548,980
794,773,0,723,1496
795,967,0,354,1321
796,804,0,350,1154
797,475,0,882,1357
798,641,0,60,701
799,251,0,731,982
800,551,0,120,671
801,550,0,317,867
802,399,0,81,480
803,741,0,850,1591
804,393,0,551,944
805,826,0,806,1632
806,648,0,820,1468
807,411,0,612,1023
808,49,0,557,606
809,105,0,251,356
810,331,0,109,440
811,813,0,518,1331
812,898,0,304,1202
813,714,0,310,1024
814,216,0,733,949
815,77,0,425,502
816,372,0,437,809
817,589,0,156,745
818,745,0,832,1577
819,631,0,355,986
820,287,0,56,343
821,532,0,174,706
822,990,0,666,1656
823,999,0,822,1821
824,694,0,560,1254
825,241,0,128,369
826,672,0,139,811
827,166,0,423,589
828,931,0,744,1675
829,767,0,112,879
830,172,0,146,318
831,438,0,103,541
832,539,0,236,775
833,938,0,939,1877
834,566,0,980,1546
835,671,0,582,1253
836,506,0,800,1306
837,104,0,957,1061
838,968,0,102,1070
839,786,0,935,1721
840,858,0,848,1706
841,26,0,241,267
842,391,0,720,1111
843,276,0,985,1261
844,880,0,870,1750
845,83,0,581,664
846,956,0,896,1852
847,317,0,191,508
848,480,0,340,820
849,224,0,550,774
850,201,0,9,210
851,959,0,488,1447
852,272,0,988,1260
853,246,0,28,274
854,288,0,135,423
855,352,0,209,561
856,848,0,646,1494
857,870,0,265,1135
858,273,0,955,1228
859,273,0,228,501
860,801,0,213,1014
861,383,0,707,1090
862,426,0,65,491
863,490,0,77,567
864,745,0,829,1574
865,446,0,213,659
866,748,0,515,1263
867,504,0,396,900
868,812,0,289,1101
869,2,0,941,943
870,719,0,16,735
871,870,0,661,1531
872,252,0,800,1052
873,549,0,560,1109
874,754,0,811,1565
875,641,0,343,984
876,850,0,498,1348
877,261,0,990,1251
878,334,0,392,726
879,897,0,589,1486
880,582,0,148,730
881,611,0,417,1028
882,417,0,396,813
883,604,0,548,1152
884,392,0,204,596
885,649,0,546,1195
886,528,0,575,1103
887,94,0,861,955
888,568,0,15,583
889,510,0,0,510
890,977,0,970,1947
891,714,0,633,1347
892,366,0,392,758
893,722,0,556,1278
894,20,0,479,499
895,338,0,908,1246
896,444,0,663,1107
897,188,0,407,595
898,298,0,372,670
899,482,0,453,935
900,5,0,313,318
901,966,0,448,1414
902,929,0,217,1146
903,198,0,249,447
904,946,0,358,1304
905,354,0,355,709
906,334,0,394,728
907,134,0,819,953
908,549,0,696,1245
909,321,0,956,1277
910,31,0,878,909
911,96,0,569,665
912,464,0,584,1048
913,123,0,292,415
914,259,0,112,371
915,629,0,775,1404
916,331,0,194,525
917,180,0,574,754
918,706,0,115,821
919,894,0,891,1785
920,906,0,139,1045
921,190,0,809,999
922,172,0,443,615
923,484,0,769,1253
924,871,0,862,1733
925,271,0,132,403
926,256,0,930,1186
927,710,0,44,754
928,476,0,655,1131
929,998,0,681,1679
930,591,0,582,1173
931,338,0,518,856
932,576,0,349,925
933,2,0,953,955
934,362,0,847,1209
935,318,0,517,835
936,252,0,208,460
937,427,0,845,1272
938,845,0,540,1385
939,374,0,883,1257
940,994,0,927,1921
941,844,0,971,1815
942,166,0,965,1131
943,324,0,624,948
944,398,0,706,1104
945,542,0,210,752
946,901,0,812,1713
947,621,0,711,1332
948,558,0,697,1255
949,16,0,929,945
950,142,0,704,846
951,538,0,97,635
952,941,0,40,981
953,698,0,976,1674
954,330,0,837,1167
955,28,0,349,377
956,816,0,741,1557
957,952,0,592,1544
958,552,0,439,991
959,698,0,93,791
960,855,0,472,1327
961,569,0,740,1309
962,934,0,676,1610
963,852,0,955,1807
964,706,0,836,1542
965,642,0,579,1221
966,163,0,955,1118
967,156,0,910,1066
968,740,0,502,1242
969,138,0,114,252
970,428,0,376,804
971,772,0,175,947
972,555,0,261,816
973,618,0,831,1449
974,307,0,181,488
975,669,0,439,1108
976,437,0,567,1004
977,808,0,920,1728
978,489,0,367,856
979,163,0,67,230
980,878,0,445,1323
981,839,0,335,1174
982,228,0,2,230
983,331,0,408,739
984,154,0,922,1076
985,502,0,406,908
986,251,0,356,607
987,407,0,841,1248
988,306,0,789,1095
989,656,0,1000,1656
990,114,0,355,469
991,78,0,674,752
992,914,0,522,1436
993,633,0,748,1381
994,439,0,310,749
995,189,0,871,1060
996,412,0,192,604
997,73,0,403,476
998,67,0,360,427
999,572,0,732,1304
1000,817,0,7,824
1001,528,0,89,617
1002,716,0,694,1410
1003,365,0,882,1247
1004,775,0,142,917
1005,999,0,305,1304
1006,388,0,172,560
1007,320,0,853,1173
1008,944,0,663,1607
1009,495,0,503,998
1010,926,0,743,1669
1011,864,0,429,1293
1012,259,0,750,1009
1013,501,0,665,1166
1014,269,0,621,890
1015,325,0,635,960
1016,136,0,954,1090
1017,460,0,307,767
1018,474,0,54,528
1019,356,0,823,1179
1020,60,0,649,709
1021,269,0,731,1000
1022,49,0,350,399
1023,195,0,721,916
1024,456,0,490,946
1025,329,0,768,1097
1026,989,0,381,1370
1027,582,0,968,1550
1028,422,0,0,422
1029,491,0,845,1336
1030,23,0,517,540
1031,704,0,464,1168
1032,821,0,918,1739
1033,91,0,104,195
1034,990,0,917,1907
1035,206,0,746,952
1036,25,0,256,281
1037,391,0,910,1301
1038,46,0,87,133
1039,653,0,857,1510
1040,453,0,833,1286
1041,162,0,38,200
1042,136,0,808,944
1043,321,0,805,1126
1044,321,0,179,500
1045,178,0,205,383
1046,508,0,809,1317
1047,946,0,167,1113
1048,248,0,861,1109
1049,744,0,931,1675
1050,873,0,533,1406
1051,41,0,708,749
1052,782,0,611,1393
1053,310,0,586,896
1054,965,0,607,1572
1055,631,0,287,918
1056,865,0,340,1205
1057,25,0,733,758
1058,364,0,318,682
1059,765,0,145,910
1060,476,0,555,1031
1061,920,0,986,1906
1062,853,0,311,1164
1063,699,0,274,973
1064,666,0,204,870
1065,600,0,682,1282
1066,432,0,144,576
1067,292,0,400,692
1068,274,0,130,404
1069,501,0,750,1251
1070,197,0,170,367
1071,208,0,5,213
1072,22,0,499,521
1073,62,0,550,612
1074,28,0,721,749
1075,661,0,231,892
1076,573,0,769,1342
1077,451,0,95,546
1078,253,0,410,663
1079,180,0,230,410
1080,400,0,371,771
1081,952,0,360,1312
1082,300,0,320,620
1083,292,0,427,719
1084,740,0,716,1456
1085,715,0,860,1575
1086,784,0,947,1731
1087,380,0,195,575
1088,169,0,301,470
1089,793,0,34,827
1090,123,0,510,633
1091,577,0,217,794
1092,26,0,383,409
1093,505,0,926,1431
1094,184,0,850,1034
1095,501,0,120,621
1096,551,0,822,1373
1097,235,0,323,558
1098,505,0,501,1006
1099,648,0,442,1090
1100,42,0,641,683
1101,32,0,505,537
1102,505,0,614,1119
1103,520,0,498,1018
1104,521,0,469,990
1105,771,0,311,1082
1106,234,0,0,234
1107,510,0,609,1119
1108,48,0,286,334
1109,940,0,27,967
1110,684,0,481,1165
1111,159,0,791,950
1112,507,0,877,1384
1113,522,0,871,1393
1114,727,0,496,1223
1115,838,0,596,1434
1116,661,0,959,1620
1117,730,0,699,1429
1118,841,0,142,983
1119,895,0,982,1877
1120,345,0,730,1075
1121,149,0,601,750
1122,210,0,387,597
1123,740,0,328,1068
1124,316,0,273,589
1125,143,0,961,1104
1126,78,0,926,1004
1127,837,0,760,1597
1128,336,0,712,1048
1129,693,0,199,892
1130,60,0,965,1025
1131,68,0,764,832
1132,722,0,911,1633
1133,429,0,858,1287
1134,375,0,647,1022
1135,518,0,777,1295
1136,728,0,170,898
1137,0,0,996,996
1138,442,0,902,1344
1139,290,0,977,1267
1140,807,0,947,1754
1141,359,0,338,697
1142,662,0,43,705
1143,10,0,905,915
1144,571,0,332,903
1145,122,0,333,455
1146,956,0,558,1514
1147,160,0,333,493
1148,346,0,561,907
1149,50,0,958,1008
1150,349,0,33,382
1151,184,0,899,1083
1152,446,0,736,1182
1153,217,0,374,591
1154,990,0,290,1280
1155,376,0,865,1241
1156,757,0,48,805
1157,506,0,311,817
1158,29,0,277,306
1159,463,0,458,921
